,SiteID,Campaign,Quantrich,PC_rich,brdnetEst,CSpcRich,PC_richness_AllSpecies,PC_richness_BNSpecies
495,s2lam128_231026,Dry season,5,3,NA,1,3,1
496,s2lam128_231122,Dry season,11,2,7,2,2,2
497,s2lam129_230807,Wet season,15,14,16,7,13,7
498,s2lam129_230812,Wet season,13,2,6,2,2,2
499,s2lam129_231010,Dry season,15,15,6,6,9,6
500,s2lam129_231117,Dry season,19,8,14,3,5,3
501,s2lam130_230725,Wet season,10,9,6,3,8,3
502,s2lam130_231005,Dry season,16,19,11,9,18,9
503,s2lam130_231013,Dry season,14,12,6,4,11,4
504,s2lam130_231117,Dry season,21,11,10,8,10,8
505,s2lam131_230725,Wet season,11,1,3,1,1,1
506,s2lam131_230802,Wet season,5,4,1,1,4,1
507,s2lam131_230809,Wet season,13,11,8,9,11,9
508,s2lam131_230815,Wet season,25,17,15,7,14,7
509,s2lam131_231001,Dry season,21,38,10,9,14,9
510,s2lam131_231026,Dry season,5,6,2,1,5,1
511,s2lam131_231117,Dry season,21,14,11,10,12,10
512,s2lam131_231203,Dry season,20,22,11,6,19,6
513,s2lam132_231108,Dry season,15,11,6,4,8,4
514,s2lam132_231128,Dry season,21,8,14,4,8,4
515,s2lam133_231103,Dry season,19,15,4,9,12,9
516,s2lam133_231127,Dry season,15,3,8,1,3,1
517,s2lam134_231107,Dry season,24,12,14,5,11,5
518,s2lam134_231128,Dry season,19,6,11,5,6,5
519,s2lam135_230713,Wet season,10,8,4,7,8,7
520,s2lam135_230725,Wet season,10,14,4,5,12,5
521,s2lam135_230802,Wet season,2,2,2,1,2,1
522,s2lam135_230809,Wet season,22,6,11,5,6,5
523,s2lam135_230815,Wet season,13,5,4,3,5,3
524,s2lam135_231026,Dry season,9,5,3,1,3,1
525,s2lam136_230807,Wet season,17,11,9,5,7,5
526,s2lam136_230813,Wet season,16,11,11,1,9,1
527,s2lam136_231010,Dry season,16,12,8,5,9,5
528,s2lam136_231022,Dry season,21,11,10,7,10,7
529,s2lam136_231028,Dry season,11,11,3,5,6,5
530,s2lam136_231110,Dry season,22,14,15,7,13,7
531,s2lam136_231117,Dry season,14,11,12,NA,10,0
532,s2lam137_230725,Wet season,16,8,10,2,8,2
533,s2lam137_230809,Wet season,7,3,6,1,2,1
534,s2lam137_230815,Wet season,13,5,8,2,4,2
535,s2lam137_231011,Dry season,19,12,8,6,10,6
536,s2lam137_231026,Dry season,5,7,1,1,6,1
537,s2lam137_231117,Dry season,17,14,5,8,11,8
538,s2lam137_231122,Dry season,12,5,5,2,5,2
539,s2lam138_230713,Wet season,6,3,1,1,3,1
540,s2lam138_230725,Wet season,8,5,5,3,5,3
541,s2lam138_230802,Wet season,3,1,1,NA,1,0
542,s2lam138_230809,Wet season,12,4,5,3,4,3
543,s2lam138_230815,Wet season,9,7,4,3,6,3
544,s2lam138_230930,Dry season,15,17,8,8,12,8
545,s2lam138_231011,Dry season,10,10,4,3,6,3
546,s2lam138_231026,Dry season,6,7,4,1,5,1
547,s2lam138_231117,Dry season,14,9,6,6,8,5
548,s2lam139_230718,Wet season,21,7,7,6,7,5
549,s2lam139_230807,Wet season,19,11,12,5,11,5
550,s2lam140_230807,Wet season,20,9,11,3,9,3
551,s2lam140_230812,Wet season,13,2,7,1,2,1
552,s2lam141_230807,Wet season,17,11,9,6,10,6
553,s2lam141_230813,Wet season,14,8,7,1,7,1
554,s2lam142_230707,Wet season,19,10,7,6,9,6
555,s2lam142_230717,Wet season,10,2,3,1,1,1
556,s2lam142_231005,Dry season,13,12,6,6,10,6
557,s2lam142_231026,Dry season,9,8,7,4,8,4
558,s2lam143_230707,Wet season,8,8,4,5,8,5
559,s2lam143_230717,Wet season,18,8,11,5,6,5
560,s2lam143_231005,Dry season,13,12,13,4,8,4
561,s2lam143_231013,Dry season,22,14,13,7,11,7
562,s2lam143_231025,Dry season,7,6,1,NA,5,0
563,s2lam144_230707,Wet season,1,6,0,3,5,3
564,s2lam144_230717,Wet season,8,10,5,5,7,5
565,s2lam144_231005,Dry season,5,10,1,3,9,3
566,s2lam144_231013,Dry season,5,6,2,5,6,5
567,s2lam144_231026,Dry season,5,7,NA,1,6,1
568,s2lam146_230718,Wet season,11,6,4,3,6,3
569,s2lam146_230807,Wet season,16,10,5,4,7,4
570,s2lam148_230807,Wet season,22,14,6,8,11,8
571,s2lam148_230813,Wet season,16,9,9,3,7,3
572,s2lam149_230707,Wet season,2,9,0,3,8,3
573,s2lam149_231005,Dry season,14,8,7,4,6,4
574,s2lam149_231013,Dry season,16,25,13,7,20,6
575,s2lam149_231025,Dry season,18,16,7,4,13,4
576,s2lam149_231117,Dry season,11,12,8,6,9,6
577,s2lam149_231122,Dry season,21,3,10,NA,3,0
578,s2lam150_230721,Wet season,13,3,5,1,3,1
579,s2lam150_231017,Dry season,13,5,4,4,5,4
580,s2lam151_230713,Wet season,19,12,7,9,10,9
581,s2lam151_230725,Wet season,17,3,5,2,3,2
582,s2lam151_230802,Wet season,3,4,3,2,4,2
583,s2lam151_230809,Wet season,9,7,3,3,6,3
584,s2lam151_230815,Wet season,8,2,2,1,2,1
585,s2lam151_230930,Dry season,10,10,6,3,7,3
586,s2lam151_231026,Dry season,5,2,1,2,2,2
587,s2lam151_231117,Dry season,13,14,6,6,11,6
588,s2lam154_230717,Wet season,2,10,0,6,8,6
589,s2lam154_231005,Dry season,13,12,8,5,10,5
590,s2lam154_231013,Dry season,13,11,8,4,8,4
591,s2lam154_231025,Dry season,17,16,14,4,14,4
592,s2lam155_230707,Wet season,5,7,2,7,7,7
593,s2lam155_230717,Wet season,-99,6,3,3,3,3
594,s2lam155_231005,Dry season,12,14,2,4,12,4
595,s2lam155_231013,Dry season,12,6,6,4,4,4
596,s2lam155_231025,Dry season,19,21,12,9,17,9
597,s2lam156_230802,Wet season,-99,1,0,1,1,1
598,s2lam157_230807,Wet season,16,9,12,3,7,3
599,s2lam157_230812,Wet season,13,7,10,3,4,3
600,s2lam157_231109,Dry season,11,6,4,4,6,4
601,s2lam158_230707,Wet season,8,7,4,4,6,4
602,s2lam158_230717,Wet season,3,6,0,5,6,5
603,s2lam158_231005,Dry season,13,9,3,4,8,4
604,s2lam158_231014,Dry season,14,17,3,6,11,6
605,s2lam158_231026,Dry season,7,6,2,3,6,3
606,s2lam158_231203,Dry season,26,21,21,12,20,12
607,s2lam159_230725,Wet season,4,3,4,NA,3,0
608,s2lam159_230802,Wet season,3,3,1,1,3,1
609,s2lam159_230809,Wet season,27,12,19,9,9,9
610,s2lam159_230815,Wet season,12,1,4,1,1,1
611,s2lam159_231013,Dry season,19,18,10,7,14,7
612,s2lam159_231025,Dry season,15,8,5,1,8,1
613,s2lam159_231122,Dry season,19,4,10,2,4,2
614,s2lam160_230707,Wet season,8,6,5,6,6,6
615,s2lam160_230717,Wet season,18,12,8,5,9,5
616,s2lam160_231005,Dry season,18,15,12,8,13,8
617,s2lam160_231026,Dry season,9,3,2,1,3,1
618,s2lam160_231117,Dry season,21,12,11,8,10,7
619,s2lam160_231122,Dry season,14,3,6,3,3,3
620,s2lam161_230718,Wet season,16,7,5,7,7,7
621,s2lam161_230807,Wet season,16,11,9,1,10,1
622,s2lam161_231109,Dry season,8,5,1,4,5,4
623,s2lam162_230714,Wet season,10,6,5,4,6,4
624,s2lam162_230726,Wet season,14,10,6,5,10,4
625,s2lam162_230808,Wet season,10,2,5,1,1,1
626,s2lam162_230822,Wet season,22,8,15,3,8,3
627,s2lam162_231010,Dry season,9,2,3,2,2,2
628,s2lam162_231106,Dry season,11,3,5,2,3,2
629,s2lam162_231115,Dry season,21,7,16,5,5,5
630,s2lam163_230807,Wet season,20,10,10,7,8,7
631,s2lam163_230813,Wet season,10,7,6,3,7,3
632,s2lam163_231109,Dry season,12,5,4,3,5,3
633,s2lam165_231017,Dry season,8,2,3,2,2,2
